Matériel;Jour_semaine;Ligne;Tranche_horaire;Fréquentation;Niveau_fréquentation
métro;Lundi-vendredi;Ligne a;09:00;moyenne;2.0
métro;Lundi-vendredi;Ligne a;15:00;faible;1.0
métro;Lundi-vendredi;Ligne a;15:30;moyenne;2.0
métro;Lundi-vendredi;Ligne a;22:00;faible;1.0
métro;Lundi-vendredi;Ligne a;22:30;faible;1.0
métro;Lundi-vendredi;Ligne a;23:00;faible;1.0
métro;Lundi-vendredi;Ligne a;00:00;non ouvert;
Articulés;Lundi-vendredi;C1;05:30;faible;1.0
Articulés;Lundi-vendredi;C1;07:00;faible;1.0
Articulés;Lundi-vendredi;C1;08:30;moyenne;2.0
Articulés;Lundi-vendredi;C1;09:30;faible;1.0
Articulés;Lundi-vendredi;C1;10:30;faible;1.0
Articulés;Lundi-vendredi;C1;11:30;faible;1.0
Articulés;Lundi-vendredi;C1;12:00;moyenne;2.0
Articulés;Lundi-vendredi;C1;14:30;faible;1.0
Articulés;Lundi-vendredi;C1;15:30;moyenne;2.0
Articulés;Lundi-vendredi;C1;17:30;haute;3.0
Articulés;Lundi-vendredi;C1;21:30;faible;1.0
Articulés;Lundi-vendredi;C2;05:30;faible;1.0
Articulés;Lundi-vendredi;C2;08:30;faible;1.0
Articulés;Lundi-vendredi;C2;09:00;faible;1.0
Articulés;Lundi-vendredi;C2;11:30;faible;1.0
Articulés;Lundi-vendredi;C2;12:00;faible;1.0
Articulés;Lundi-vendredi;C2;12:30;faible;1.0
Articulés;Lundi-vendredi;C2;14:00;faible;1.0
Articulés;Lundi-vendredi;C2;15:00;faible;1.0
Articulés;Lundi-vendredi;C2;19:30;faible;1.0
Articulés;Lundi-vendredi;C2;20:00;faible;1.0
Articulés;Lundi-vendredi;C2;23:30;faible;1.0
Articulés;Lundi-vendredi;C3;09:00;faible;1.0
Articulés;Lundi-vendredi;C3;11:00;faible;1.0
Articulés;Lundi-vendredi;C3;11:30;faible;1.0
Articulés;Lundi-vendredi;C3;12:30;moyenne;2.0
Articulés;Lundi-vendredi;C3;13:30;moyenne;2.0
Articulés;Lundi-vendredi;C3;15:00;faible;1.0
Articulés;Lundi-vendredi;C3;17:00;haute;3.0
Articulés;Lundi-vendredi;C3;19:00;faible;1.0
Articulés;Lundi-vendredi;C3;20:30;faible;1.0
Articulés;Lundi-vendredi;C3;21:30;faible;1.0
Articulés;Lundi-vendredi;C3;22:00;faible;1.0
Articulés;Lundi-vendredi;C3;00:30;non ouvert;
Articulés;Lundi-vendredi;C4;08:00;moyenne;2.0
Articulés;Lundi-vendredi;C4;10:00;faible;1.0
Articulés;Lundi-vendredi;C4;11:30;faible;1.0
Articulés;Lundi-vendredi;C4;14:30;faible;1.0
Articulés;Lundi-vendredi;C4;15:00;faible;1.0
